Período de referência dos dados,Localização geográfica (Região agrária),Tipo de utilização das terras,Superfície irrigável (ha) das explorações agrícola por Localização geográfica (Região agrária) e Tipo de utilização das terras; Não periódica
2023,Portugal,Total,637339
2023,Portugal,Terra arável em cultura principal,272184
2023,Portugal,Culturas permanentes,325390
2023,Portugal,Pastagens permanentes,39765
2023,Alentejo,Total,265949
2023,Alentejo,Terra arável em cultura principal,67940
2023,Alentejo,Culturas permanentes,193854
2023,Alentejo,Pastagens permanentes,4155
2023,Algarve,Total,22361
2023,Algarve,Terra arável em cultura principal,2308
2023,Algarve,Culturas permanentes,19766
2023,Algarve,Pastagens permanentes,287
2019,Portugal,Total,630539
2019,Portugal,Terra arável em cultura principal,294826
2019,Portugal,Culturas permanentes,273178
2019,Portugal,Pastagens permanentes,62535
2019,Alentejo,Total,232627
2019,Alentejo,Terra arável em cultura principal,71861
2019,Alentejo,Culturas permanentes,150281
2019,Alentejo,Pastagens permanentes,10485
2019,Algarve,Total,22658
2019,Algarve,Terra arável em cultura principal,2350
2019,Algarve,Culturas permanentes,19683
2019,Algarve,Pastagens permanentes,625
2016,Portugal,Total,547838
2016,Portugal,Terra arável em cultura principal,300047
2016,Portugal,Culturas permanentes,196337
2016,Portugal,Pastagens permanentes,51454
2016,Alentejo,Total,175410
2016,Alentejo,Terra arável em cultura principal,67818
2016,Alentejo,Culturas permanentes,98553
2016,Alentejo,Pastagens permanentes,9039
2016,Algarve,Total,17158
2016,Algarve,Terra arável em cultura principal,1751
2016,Algarve,Culturas permanentes,15273
2016,Algarve,Pastagens permanentes,134
2013,Portugal,Total,551427
2013,Portugal,Terra arável em cultura principal,314807
2013,Portugal,Culturas permanentes,181452
2013,Portugal,Pastagens permanentes,55168
2013,Alentejo,Total,169573
2013,Alentejo,Terra arável em cultura principal,73933
2013,Alentejo,Culturas permanentes,87210
2013,Alentejo,Pastagens permanentes,8431
2013,Algarve,Total,17269
2013,Algarve,Terra arável em cultura principal,2444
2013,Algarve,Culturas permanentes,14507
2013,Algarve,Pastagens permanentes,318
2009,Portugal,Total,540593
2009,Portugal,Terra arável em cultura principal,322191
2009,Portugal,Culturas permanentes,157743
2009,Portugal,Pastagens permanentes,60659
2009,Alentejo,Total,155123
2009,Alentejo,Terra arável em cultura principal,71948
2009,Alentejo,Culturas permanentes,75553
2009,Alentejo,Pastagens permanentes,7622
2009,Algarve,Total,16274
2009,Algarve,Terra arável em cultura principal,2199
2009,Algarve,Culturas permanentes,13416
2009,Algarve,Pastagens permanentes,659
2007,Portugal,Total,583736
2007,Portugal,Terra arável em cultura principal,358528
2007,Portugal,Culturas permanentes,159026
2007,Portugal,Pastagens permanentes,66054
2007,Alentejo,Total,136856
2007,Alentejo,Terra arável em cultura principal,72271
2007,Alentejo,Culturas permanentes,55626
2007,Alentejo,Pastagens permanentes,8910
2007,Algarve,Total,19663
2007,Algarve,Terra arável em cultura principal,3979
2007,Algarve,Culturas permanentes,15326
2007,Algarve,Pastagens permanentes,358
2005,Portugal,Total,616982
2005,Portugal,Terra arável em cultura principal,411413
2005,Portugal,Culturas permanentes,139942
2005,Portugal,Pastagens permanentes,65627
2005,Alentejo,Total,140376
2005,Alentejo,Terra arável em cultura principal,94192
2005,Alentejo,Culturas permanentes,38762
2005,Alentejo,Pastagens permanentes,7422
2005,Algarve,Total,24962
2005,Algarve,Terra arável em cultura principal,7659
2005,Algarve,Culturas permanentes,16387
2005,Algarve,Pastagens permanentes,916
1999,Portugal,Total,791986
1999,Portugal,Terra arável em cultura principal,
1999,Portugal,Culturas permanentes,
1999,Portugal,Pastagens permanentes,
1999,Alentejo,Total,163983
1999,Alentejo,Terra arável em cultura principal,
1999,Alentejo,Culturas permanentes,
1999,Alentejo,Pastagens permanentes,
1999,Algarve,Total,30012
1999,Algarve,Terra arável em cultura principal,
1999,Algarve,Culturas permanentes,
1999,Algarve,Pastagens permanentes,
