year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Spring,Summer,Autumn,Annual,Winter
1901,68.3,79.1,145,48.5,21.1,0.6,0,0,26.7,65.6,119,125.1,214.6,0.6,211.3,699,
1902,6.7,219.3,39,98.8,17.2,12.9,12.5,5.4,0.3,70.6,137.8,38.5,155,30.8,208.7,659,351.1
1903,73.2,14.7,33.5,68.1,107.9,40.9,8.8,0.3,86,66.4,25.8,113.1,209.5,50,178.2,638.7,126.4
1904,73.2,116.4,98.1,24,20.2,26.2,0,0,89.3,48.9,72.2,66.9,142.3,26.2,210.4,635.4,302.7
1905,45.6,2.6,25.5,40.2,12.1,51.3,3.2,0.8,27.2,95.7,131.4,66.8,77.8,55.3,254.3,502.4,115.1
1906,34.6,36,61,5,102.6,49.9,23.2,0,56.7,47.6,64.8,12.8,168.6,73.1,169.1,494.2,137.4
1907,68.8,26.3,1.4,40.1,116.7,0,0.5,0,73.2,145.5,163.4,75.6,158.2,0.5,382.1,711.5,107.9
1908,83.1,1.1,45.1,34.6,20.8,69.5,0.2,0.4,5.3,30.7,149.4,83,100.5,70.1,185.4,523.2,159.8
1909,58,22.7,111.8,19.8,68.9,10.5,0.2,3,19.3,32.2,126.6,123.9,200.5,13.7,178.1,596.9,163.7
1910,13.7,23.9,31.3,40.5,94.1,9.3,0,0.1,6.1,67.8,38.8,209.8,165.9,9.4,112.7,535.4,161.5
1911,18.3,29.6,98.1,70.4,28.6,26.3,3.5,34.3,1.2,94.4,81.4,53.3,197.1,64.1,177,539.4,257.7
1912,91.6,174.6,34.2,82.4,6.5,27.7,3.8,3.8,31.2,52.7,10.7,25.8,123.1,35.3,94.6,545,319.5
1913,112.3,41.9,72.5,35.1,35.2,7.9,0.5,2.5,79.4,119.7,44.7,21.7,142.8,10.9,243.8,573.4,180
1914,42.2,129.1,59.3,49.7,20.6,4.4,5.8,0.2,0.4,75.9,63.8,145.8,129.6,10.4,140.1,597.2,193
1915,77.3,77.3,206.8,15.4,54.8,7.3,0.5,0,5.1,23.1,124,88.3,277,7.8,152.2,679.9,300.4
