year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Spring,Summer,Autumn,Annual,Winter
1966,47.5,80.8,3.1,55.3,1.4,5.8,0,7.6,2.7,48.3,24.7,8.5,59.8,13.4,75.7,285.7,
1967,36.6,47,19.9,11.4,42.1,1.5,0,0,1.2,100.2,129.4,12.7,73.4,1.5,230.8,402,92.1
1968,0.1,139.8,81.6,8.2,15.9,4.1,0.1,6.6,1.1,10.9,126.8,86.7,105.7,10.8,138.8,481.9,152.6
1969,116.7,193.8,92,13.1,39.8,2.6,0,0,24.2,58.5,120.7,25.9,144.9,2.6,203.4,687.3,397.2
1970,309.7,9.4,75.5,18.5,25.4,46.1,0,0,0,21.7,17.7,93.4,119.4,46.1,39.4,617.4,345
1971,127,19.6,22,124.6,68.7,15.1,0.4,4.2,0.4,13.8,5.3,129.1,215.3,19.7,19.5,530.2,240
1972,126,142.9,82.7,12.7,9.5,0.5,0.9,0,41.8,185.1,29.8,88.7,104.9,1.4,256.7,720.6,398
1973,74.1,9.1,4.8,2.8,29.6,0.3,0,0.3,0.3,9.7,30.8,50.4,37.2,0.6,40.8,212.2,171.9
1974,32.1,29.6,47.8,87.3,2.1,25.1,0.1,0,0,1.1,30.5,10.8,137.2,25.2,31.6,266.5,112.1
1975,65.9,105.3,84.7,25.6,31.2,25.9,0,0,3,11.7,9.1,322,141.5,25.9,23.8,684.4,182
1976,28.3,50,36.6,87.8,18.2,2.4,1,53.4,46.6,56.3,29,177.4,142.6,56.8,131.9,587,400.3
1977,149.8,123.5,4.2,2.4,0.7,14.2,0.3,0.1,0.1,106.7,125.4,195.4,7.3,14.6,232.2,722.8,450.7
1978,45.4,82.4,27.4,63.8,30.2,4.7,0,0,1.7,36.8,73,101.9,121.4,4.7,111.5,467.3,323.2
1979,133.7,131.5,47.9,23.8,2.8,0.2,1,0,20.7,136.9,3.4,6.1,74.5,1.2,161,508,367.1
1980,35.6,83.2,53.9,18.1,41.2,7.7,1.5,4.8,8.5,50.7,74.6,0.7,113.2,14,133.8,380.5,124.9
1981,4.1,32.8,27.7,28.9,20.7,0.8,0.1,0,23.4,7.6,1.7,112.6,77.3,0.9,32.7,260.4,37.6
1982,110.7,34.6,57,12.1,0.2,0.6,2.8,11.7,20.1,4.5,74.7,11.5,69.3,15.1,99.3,340.5,257.9
1983,0.7,47.1,4.1,32.5,9.6,2.8,0.2,0.4,0.4,76.9,285.6,92.7,46.2,3.4,362.9,553,59.3
1984,12.9,23.1,37.2,33.1,15.5,0.6,0,0.1,0.1,17.4,116.8,51.6,85.8,0.7,134.3,308.4,128.7
1985,127.6,142.6,1.4,26.8,9.1,6.1,0.1,0,0.7,0,38.8,55,37.3,6.2,39.5,408.2,321.8
1986,29.9,91.9,64.5,59.3,6.3,2.3,0,0.1,39,26.3,32,19.4,130.1,2.4,97.3,371,176.8
1987,113.2,99.7,9.2,50.8,0.4,2.9,10.6,20.1,26.1,133.5,142.6,262.6,60.4,33.6,302.2,871.7,232.3
1988,92.9,36.5,25.5,2.4,69.6,17.9,15.6,0,0,62.8,376.1,7.7,97.5,33.5,438.9,707,392
1989,61.5,52,22.7,55.4,35.7,0,0.1,2.4,23.9,341.1,228.8,353.4,113.8,2.5,593.8,1177,121.2
