Período de referência dos dados,Localização geográfica (Região agrária),Espécie,Superfície das principais culturas agrícolas (ha) por Localização geográfica (Região agrária) e Espécie; Anual (1) ,Produção das principais culturas agrícolas (t) por Localização geográfica (Região agrária) e Espécie; Anual (1) ,Produtividade das principais culturas agrícolas (kg/ ha) por Localização geográfica (Região agrária) e Espécie; Anual (1) 
2024,Portugal,Cereais para grão,191190,1008959,5277
2024,Portugal,Trigo,24107,78611,3261
2024,Portugal,Trigo mole,20303,65937,3248
2024,Portugal,Trigo duro,3805,12674,3331
2024,Portugal,Centeio,12744,12525,983
2024,Portugal,Aveia,36102,56839,1574
2024,Portugal,Cevada,11485,44222,3850
2024,Portugal,Triticale,13871,27111,1955
2024,Portugal,Milho,65163,617531,9477
2024,Portugal,Milho regadio,57857,598971,10353
2024,Portugal,Milho sequeiro,7306,18560,2540
2024,Portugal,Arroz,27717,172120,6210
2024,Portugal,Principais leguminosas secas,15087,8258,547
2024,Portugal,Feijão,12972,6348,489
2024,Portugal,Grão-de-bico,2116,1910,903
2024,Portugal,Batata,16462,357555,21720
2024,Portugal,Batata de regadio,13556,322986,23827
2024,Portugal,Batata de sequeiro,2907,34568,11893
2024,Portugal,Principais culturas para indústria,21319,1648087,77308
2024,Portugal,Tomate para indústria,17971,1640782,91302
2024,Portugal,Girassol,3337,7298,2187
2024,Portugal,Tabaco,0,0,
2024,Portugal,Beterraba,0,0,
2024,Portugal,Lúpulo,10,7,683
2024,Portugal,Culturas hortícolas,39509,1084830,27458
2024,Portugal,Tomate fresco,1427,121743,85343
2024,Portugal,Alface,2310,57142,24740
2024,Portugal,Feijão-verde,1013,11876,11724
2024,Portugal,Cebola,1798,61441,34173
2024,Portugal,Cenoura,2370,128689,54289
2024,Portugal,Pimento,1057,46376,43896
2024,Portugal,Ervilha,2256,8237,3651
2024,Portugal,Fava,645,3496,5419
2024,Portugal,Melão,2146,66959,31204
2024,Portugal,Melancia,876,30729,35060
2024,Portugal,Morango,315,8767,27810
2024,Portugal,Couve-flor,565,13576,24032
2024,Portugal,Couve-brócolo,3191,39253,12300
2024,Portugal,Couve-repolho,3801,127822,33628
2024,Portugal,Couve-tronchuda,1468,20838,14195
2024,Portugal,Couve-lombardo,1533,57093,37251
2024,Portugal,Grelos (nabo e couve),1336,12429,9306
2024,Portugal,Alho,909,15445,16991
2024,Portugal,Alho-porro,919,27601,30034
2024,Portugal,Courgette,682,29198,42827
2024,Portugal,Espinafre,460,5473,11905
2024,Portugal,Nabo,782,16443,21035
2024,Portugal,Abóbora (inclui butternut),3928,91814,23372
2024,Portugal,Outras hortícolas,3723,82390,22131
2024,Portugal,Principais culturas forrageiras,120110,3991815,33235
2024,Portugal,Milho forrageiro,68024,3052144,44869
2024,Portugal,Aveia forrageira,52086,939672,18041
2024,Portugal,Principais frutos frescos,43029,530732,12334
2024,Portugal,Pêra,10230,125223,12241
2024,Portugal,Maçã,13653,313214,22940
