date,tmax,tmin,tmed
01/1966,16.61,10.83,13.72
02/1966,17.21,10.2,13.7
03/1966,18.91,9.06,13.99
04/1966,20.03,11.84,15.93
05/1966,24.22,14.42,19.32
06/1966,25.6,15.81,20.7
07/1966,26.91,17.09,22
08/1966,28.13,17.62,22.88
09/1966,26.47,18,22.23
10/1966,21.32,13.06,17.19
11/1966,16.81,8.02,12.42
12/1966,16.39,7.11,11.75
01/1967,15.45,6.82,11.14
02/1967,16.53,8.74,12.64
03/1967,19.78,10.48,15.13
04/1967,19.1,10.6,14.85
05/1967,21.84,12.82,17.33
06/1967,25.08,16.48,20.78
07/1967,28.49,17.93,23.21
08/1967,28.77,18.31,23.54
09/1967,24.78,15.8,20.29
10/1967,22.68,14.62,18.65
11/1967,17.84,11.26,14.55
12/1967,14.9,6.64,10.77
01/1968,16.13,6.45,11.29
02/1968,15.9,9.28,12.59
03/1968,16.66,9.07,12.86
04/1968,18.7,10.59,14.64
05/1968,23.09,12.93,18.01
06/1968,25.22,16.15,20.69
07/1968,28.51,17.88,23.2
08/1968,28.01,17.99,23
09/1968,26.19,16.4,21.3
10/1968,24.01,15.35,19.68
11/1968,19.16,12.1,15.63
12/1968,16.7,8.37,12.54
01/1969,15.98,9.97,12.98
02/1969,15.25,9.25,12.25
03/1969,17.08,9.89,13.49
04/1969,20.09,10.03,15.06
05/1969,21.48,12.47,16.98
06/1969,24.61,15.17,19.89
07/1969,29.31,18.88,24.09
08/1969,29.75,17.99,23.87
09/1969,24.81,14.77,19.79
10/1969,22.79,14.63,18.71
11/1969,18.39,9.56,13.97
12/1969,15.83,5.75,10.79
01/1970,16.24,9.78,13.01
02/1970,17.12,7.13,12.12
03/1970,17.12,7.4,12.26
04/1970,21.21,10.38,15.8
05/1970,22.91,12.97,17.94
06/1970,24.68,15.33,20.01
07/1970,29.49,17.68,23.58
08/1970,27.65,16.87,22.26
09/1970,28.05,17.65,22.85
10/1970,23.45,13.36,18.4
11/1970,20.62,11.38,16
12/1970,15,5.89,10.45
01/1971,15.1,7.51,11.31
02/1971,17.31,7.59,12.45
03/1971,17.22,7.38,12.3
